,time,a
249,2017-12-11 09:00:00.000000,587.47591522158
250,2017-12-11 09:59:59.999999,576.5253692999357
251,2017-12-11 11:00:00.000001,564.2260757867695
252,2017-12-11 12:00:00.000000,550.0642260757868
253,2017-12-11 12:59:59.999999,538.0860629415542
254,2017-12-11 14:00:00.000001,527.5208734746307
255,2017-12-11 15:00:00.000000,521.4193962748876
256,2017-12-11 15:59:59.999999,513.937058445729
257,2017-12-11 17:00:00.000001,523.2819524727039
258,2017-12-11 18:00:00.000000,554.1104688503533
259,2017-12-11 18:59:59.999999,567.4373795761079
260,2017-12-11 20:00:00.000001,567.3410404624278
261,2017-12-11 21:00:00.000000,561.7533718689789
262,2017-12-11 21:59:59.999999,549.1008349389853
263,2017-12-11 23:00:00.000001,523.6351958895311
264,2017-12-12 00:00:00.000000,491.9717405266538
265,2017-12-12 00:59:59.999999,476.6859344894027
266,2017-12-12 02:00:00.000001,464.0655105973025
267,2017-12-12 03:00:00.000000,460.6294155427104
268,2017-12-12 03:59:59.999999,461.0789980732177
269,2017-12-12 05:00:00.000001,469.7816313423249
270,2017-12-12 06:00:00.000000,496.7244701348748
271,2017-12-12 06:59:59.999999,542.5818882466281
272,2017-12-12 08:00:00.000001,568.4649967886962
273,2017-12-12 09:00:00.000000,570.199100834939
274,2017-12-12 09:59:59.999999,568.529222864483
275,2017-12-12 11:00:00.000001,571.9653179190751
276,2017-12-12 12:00:00.000000,574.8233782915863
277,2017-12-12 12:59:59.999999,572.7681438664098
278,2017-12-12 14:00:00.000001,577.5208734746307
279,2017-12-12 15:00:00.000000,577.7456647398844
280,2017-12-12 15:59:59.999999,580.1220295439948
281,2017-12-12 17:00:00.000001,593.8985228002568
282,2017-12-12 18:00:00.000000,624.116891457932
283,2017-12-12 18:59:59.999999,634.6178548490687
284,2017-12-12 20:00:00.000001,632.0488118175979
285,2017-12-12 21:00:00.000000,627.7135517019909
286,2017-12-12 21:59:59.999999,615.7032755298652
287,2017-12-12 23:00:00.000001,591.65061014772
288,2017-12-13 00:00:00.000000,571.2267180475272
289,2017-12-13 00:59:59.999999,555.8766859344893
290,2017-12-13 02:00:00.000001,547.8805394990366
291,2017-12-13 03:00:00.000000,546.6281310211946
292,2017-12-13 03:59:59.999999,549.3577392421323
293,2017-12-13 05:00:00.000001,558.2209377007064
294,2017-12-13 06:00:00.000000,584.136159280668
295,2017-12-13 06:59:59.999999,619.8137443802184
296,2017-12-13 08:00:00.000001,638.3750802825947
297,2017-12-13 09:00:00.000000,633.1085420680796
298,2017-12-13 09:59:59.999999,620.038535645472
299,2017-12-13 11:00:00.000001,607.8676942838792
300,2017-12-13 12:00:00.000000,593.9306358381504
301,2017-12-13 12:59:59.999999,584.0719332048812
302,2017-12-13 14:00:00.000001,574.3416827231855
303,2017-12-13 15:00:00.000000,565.3500321130379
304,2017-12-13 15:59:59.999999,563.1984585741811
305,2017-12-13 17:00:00.000001,572.2222222222223
306,2017-12-13 18:00:00.000000,597.3988439306358
307,2017-12-13 18:59:59.999999,603.3718689788054
308,2017-12-13 20:00:00.000001,599.7430956968528
309,2017-12-13 21:00:00.000000,593.5131663455363
310,2017-12-13 21:59:59.999999,574.4701348747591
311,2017-12-13 23:00:00.000001,547.2061657032755
312,2017-12-14 00:00:00.000000,520.8092485549133
313,2017-12-14 00:59:59.999999,500.2247912652537
314,2017-12-14 02:00:00.000001,488.9210019267823
315,2017-12-14 03:00:00.000000,485.0995504174695
316,2017-12-14 03:59:59.999999,486.0308285163776
317,2017-12-14 05:00:00.000001,497.3346178548491
318,2017-12-14 06:00:00.000000,519.5568400770713
319,2017-12-14 06:59:59.999999,561.0147719974309
320,2017-12-14 08:00:00.000001,586.5446371226718
321,2017-12-14 09:00:00.000000,583.8150289017341
322,2017-12-14 09:59:59.999999,580.4752729608222
323,2017-12-14 11:00:00.000001,571.4836223506743
324,2017-12-14 12:00:00.000000,565.7996146435453
325,2017-12-14 12:59:59.999999,555.5555555555555
326,2017-12-14 14:00:00.000001,551.9267822736032
327,2017-12-14 15:00:00.000000,546.6602440590881
328,2017-12-14 15:59:59.999999,544.4765574823379
329,2017-12-14 17:00:00.000001,556.8721901091844
330,2017-12-14 18:00:00.000000,582.9158638407193
331,2017-12-14 18:59:59.999999,596.3391136801542
332,2017-12-14 20:00:00.000001,594.9261400128452
333,2017-12-14 21:00:00.000000,594.3802183686577
334,2017-12-14 21:59:59.999999,583.8792549775209
335,2017-12-14 23:00:00.000001,561.2716763005781
336,2017-12-15 00:00:00.000000,539.5953757225433
337,2017-12-15 00:59:59.999999,523.6994219653179
338,2017-12-15 02:00:00.000001,516.2491971740527
339,2017-12-15 03:00:00.000000,510.0834938985228
340,2017-12-15 03:59:59.999999,512.3635195889531
341,2017-12-15 05:00:00.000001,523.7636480411046
342,2017-12-15 06:00:00.000000,548.3943481053308
343,2017-12-15 06:59:59.999999,587.2190109184328
344,2017-12-15 08:00:00.000001,608.5741811175337
345,2017-12-15 09:00:00.000000,598.8118175979448
346,2017-12-15 09:59:59.999999,598.490687219011
347,2017-12-15 11:00:00.000001,596.4033397559409
348,2017-12-15 12:00:00.000000,591.4258188824663
349,2017-12-15 12:59:59.999999,582.5626204238921
350,2017-12-15 14:00:00.000001,576.3326910725755
351,2017-12-15 15:00:00.000000,574.9839434810533
352,2017-12-15 15:59:59.999999,570.038535645472
353,2017-12-15 17:00:00.000001,575.5940912010277
354,2017-12-15 18:00:00.000000,595.6005138086063
355,2017-12-15 18:59:59.999999,597.9768786127169
356,2017-12-15 20:00:00.000001,590.6229929351317
357,2017-12-15 21:00:00.000000,583.8150289017341
358,2017-12-15 21:59:59.999999,571.0019267822736
359,2017-12-15 23:00:00.000001,551.669877970456
360,2017-12-16 00:00:00.000000,525.208734746307
361,2017-12-16 00:59:59.999999,505.9087989723828
362,2017-12-16 02:00:00.000001,493.9948619139371
363,2017-12-16 03:00:00.000000,486.8657675016057
364,2017-12-16 03:59:59.999999,485.3243416827232
365,2017-12-16 05:00:00.000001,487.7007064868337
366,2017-12-16 06:00:00.000000,500.0963391136802
367,2017-12-16 06:59:59.999999,518.6576750160565
368,2017-12-16 08:00:00.000001,537.6364804110468
369,2017-12-16 09:00:00.000000,547.3988439306358
370,2017-12-16 09:59:59.999999,544.2517662170842
371,2017-12-16 11:00:00.000001,528.3236994219653
372,2017-12-16 12:00:00.000000,507.6429030186255
373,2017-12-16 12:59:59.999999,489.2742453436096
374,2017-12-16 14:00:00.000001,472.6718047527295
375,2017-12-16 15:00:00.000000,459.7302504816956
376,2017-12-16 15:59:59.999999,452.4084778420038
377,2017-12-16 17:00:00.000001,464.6756583172768
378,2017-12-16 18:00:00.000000,502.2479126525369
379,2017-12-16 18:59:59.999999,513.8407193320488
