begin,a
2020-12-18,4700.5199999999995
2020-12-19,3460.08
2020-12-20,3484.6800000000003
2020-12-21,4759.68
2020-12-22,4931.76
2020-12-23,4883.16
2020-12-24,4834.92
2020-12-25,4887.119999999999
2020-12-26,3457.56
2020-12-27,3463.6800000000003
2020-12-28,4797.6
2020-12-29,4859.280000000001
2020-12-30,4575.36
2020-12-31,3907.08
2021-01-01,3490.3199999999997
2021-01-02,3359.3999999999996
2021-01-03,3413.2799999999997
2021-01-04,3360.3599999999997
2021-01-05,3376.4399999999996
2021-01-06,3357.9599999999996
2021-01-07,3373.56
2021-01-08,3353.9999999999995
2021-01-09,3545.04
2021-01-10,3411.4799999999996
2021-01-11,4620.6
2021-01-12,4547.64
2021-01-13,4458.360000000001
2021-01-14,4561.8
2021-01-15,4629.72
2021-01-16,3384.7200000000003
2021-01-17,3386.6400000000003
2021-01-18,4548.36
2021-01-19,4653.84
2021-01-20,4481.639999999999
2021-01-21,4587.48
2021-01-22,4463.88
2021-01-23,3390.12
2021-01-24,3389.88
2021-01-25,4431.0
2021-01-26,4487.4
2021-01-27,4344.6
2021-01-28,4313.76
2021-01-29,4344.84
2021-01-30,3346.3199999999997
2021-01-31,3456.7200000000003
